,id,edad,sexo,estado,Oxalis,Quercus,Cyp.bulb,Phaseolus,Insectos,Cyp.rizo,Commelina.dianthifolia,Euphorbia bilobata,time,dist_camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
0,2014-104,J,Female,NM,9.7584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14:20,251.86,462,7.054166541,2518.0,34.037969,-108.963777,0.0,0.798599543,Rocky Mountain Ponderosa Pine Woodland
1,2014-105,J,Male,NM,3.9632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14:20,251.86,462,7.054166541,2518.0,34.037969,-108.963777,0.0,0.798599543,Rocky Mountain Ponderosa Pine Woodland
2,2016-133,A,Female,AZ,3.8238,0.0,0.0,0.6148,0.0514,0.0,0.0025,0.1085,17:00,574.06,515,15.95416654,1527.0,31.375725,-110.530491,0.785803177,1.245915723,Madrean Encinal
3,2014-28,J,Female,NM,3.7076,0.0,0.0,0.0,0.79,0.0,0.0,0.0,16:10,23.07,385,10.97916659,1952.0,33.176791,-107.735593,0.464731684,0.764465556,Colorado Plateau Pinyon-Juniper Woodland
4,2016-132,J,Male,AZ,2.2011,0.0,0.778,0.3908,0.0027,0.6988,0.7555,0.565,16:00,236.76,521,16.13333316,1507.0,31.353053,-110.53106,1.680150426,1.541562488,Apacherian-Chihuahuan Mesquite Upland Scrub
5,2016-146,J,Female,AZ,1.9345,0.0,0.0,0.0459,0.0,0.0,0.0,0.0,15:30,144.68,505,17.03750003,1306.0,31.375072,-110.777752,0.110158838,1.696755336,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
6,2014-81,J,Male,NM,1.0984,0.0,1.3573,0.0,9e-05,0.0,0.0,0.0,12:45,190.95,406,9.98749993,1993.0,33.289458,-108.061378,0.733283236,0.637185237,Rocky Mountain Ponderosa Pine Woodland
7,2015-21,J,Female,AZ,0.7669,0.0,0.0,0.0164,0.03,0.0,0.0,0.0,12:15,26.67,504,15.67500008,1546.0,31.445738,-110.542863,0.308836206,1.596709029,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
8,2015-20,J,Male,AZ,0.5227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11:30,26.67,504,15.67500008,1546.0,31.444386,-110.543406,0.820472477,1.604739743,North American Warm Desert Wash
9,2014-79,J,Female,NM,0.4199,0.0,0.7465,0.0,0.05,0.0,0.0,0.0,12:45,190.95,406,9.98749993,1993.0,33.289458,-108.061378,1.152709935,0.637185237,Rocky Mountain Ponderosa Pine Woodland
10,2016-131,J,Male,AZ,0.3736,0.0,0.8187,0.2561,0.0087,1.0151,0.0589,0.963,16:00,236.76,521,16.13333316,1507.0,31.353053,-110.53106,1.57483825,1.541562488,Apacherian-Chihuahuan Mesquite Upland Scrub
13,2016-134,J,Male,AZ,0.2348,0.0,0.0,0.0,0.0,0.0284,0.0,0.0,11:45,67.3,546,15.7916667,1481.0,31.386863,-110.749311,0.52304768,1.665194282,Madrean Encinal
