id,edad,sexo,estado,Oxalis,Quercus,Cyp.bulb,Phaseolus,Insectos,Cyp.rizo,Commelina.dianthifolia,Euphorbia bilobata,time,covey,dist camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
2014-104,J,Female,NM,9.7584,0,0,0,0,0,0,0,1420,6,251.86,462,7.054166541,2518,34.037969,-108.963777,0,0.798599543,Rocky Mountain Ponderosa Pine Woodland
2014-105,J,Male,NM,3.9632,0,0,0,0,0,0,0,1420,6,251.86,462,7.054166541,2518,34.037969,-108.963777,0,0.798599543,Rocky Mountain Ponderosa Pine Woodland
2016-133,A,Female,AZ,3.8238,0,0,0.6148,0.0514,0,0.0025,0.1085,1700,10,574.06,515,15.95416654,1527,31.375725,-110.530491,0.785803177,1.245915723,Madrean Encinal
2014-28,J,Female,NM,3.7076,0,0,0,0.79,0,0,0,1610,8,23.07,385,10.97916659,1952,33.176791,-107.735593,0.464731684,0.764465556,Colorado Plateau Pinyon-Juniper Woodland
2016-132,J,Male,AZ,2.2011,0,0.778,0.3908,0.0027,0.6988,0.7555,0.565,1600,8,236.76,521,16.13333316,1507,31.353053,-110.53106,1.680150426,1.541562488,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-146,J,Female,AZ,1.9345,0,0,0.0459,0,0,0,0,1530,5,144.68,505,17.03750003,1306,31.375072,-110.777752,0.110158838,1.696755336,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2014-81,J,Male,NM,1.0984,0,1.3573,0,0.00009,0,0,0,1245,15,190.95,406,9.98749993,1993,33.289458,-108.061378,0.733283236,0.637185237,Rocky Mountain Ponderosa Pine Woodland
2015-21,J,Female,AZ,0.7669,0,0,0.0164,0.03,0,0,0,1215,12,26.67,504,15.67500008,1546,31.445738,-110.542863,0.308836206,1.596709029,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2015-20,J,Male,AZ,0.5227,0,0,0,0,0,0,0,1130,8,26.67,504,15.67500008,1546,31.444386,-110.543406,0.820472477,1.604739743,North American Warm Desert Wash
2014-79,J,Female,NM,0.4199,0,0.7465,0,0.05,0,0,0,1245,15,190.95,406,9.98749993,1993,33.289458,-108.061378,1.152709935,0.637185237,Rocky Mountain Ponderosa Pine Woodland
2016-131,J,Male,AZ,0.3736,0,0.8187,0.2561,0.0087,1.0151,0.0589,0.963,1600,8,236.76,521,16.13333316,1507,31.353053,-110.53106,1.57483825,1.541562488,Apacherian-Chihuahuan Mesquite Upland Scrub
2016-173,NA,Male,AZ,0.2532,0,0.0402,0,0,1.3307,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.558051299,NA,NA
2016-171,NA,Female,AZ,0.2531,2.3085,0.4103,0.1158,0.4573,0.1426,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.378613594,NA,NA
2016-134,J,Male,AZ,0.2348,0,0,0,0,0.0284,0,0,1145,10,67.3,546,15.7916667,1481,31.386863,-110.749311,0.52304768,1.665194282,Madrean Encinal
2016-143,J,Male,AZ,0.2064,0,0.0785,0,0,0,0,0,930,10,191.66,537,16.04583315,1408,31.387029,-110.758167,1.169064552,1.684404447,Madrean Encinal
2016-162,J,Male,AZ,0.202,0,0,1.4711,0.0158,0,0,0,1300,12,248.39,595,14.42083335,1746,31.709155,-110.795686,0.894717749,1.014570747,Madrean Pinyon-Juniper Woodland
2016-151,A,Male,AZ,0.1821,0.3616,0.047,0.5079,0,0,0.0071,0.0042,1300,NA,293.82,620,14.30416672,1856,31.411848,-110.745665,1.238467695,1.077713295,Madrean Pinyon-Juniper Woodland
2016-194,NA,Female,AZ,0.1722,0,0,0,0.0052,0.8182,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.969494782,NA,NA
2016-152,J,Male,AZ,0.1617,,0.5961,0,0.0234,0,0,0.0366,1500,NA,57.94,482,17,1226,31.380497,-111.072099,1.84107562,1.067677296,Madrean Encinal
2016-176,NA,NA,AZ,0.1369,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.387987836,NA,NA
2016-251,NA,NA,AZ,0.1004,0.1916,0,0.0156,0.0019,0,0.0155,0,NA,NA,NA,NA,NA,NA,NA,NA,1.380497784,NA,NA
2016-168,NA,Male,AZ,0.0802,2.8766,0.4749,0.0916,1.2843,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1.21343054,NA,NA
2016-246,NA,Female,AZ,0.0706,2.7829,0.0499,0.0129,0.1355,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.519684894,NA,NA
2016-245,NA,NA,AZ,0.064,2.0037,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.138036915,NA,NA
2016-145,A,Male,AZ,0.0575,0,1.509,0.5469,0,0.8088,0,0,1500,10,23.14,505,17.11250008,1308,31.370265,-110.776138,1.181408006,1.621506354,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
2016-135,J,male,AZ,0.0569,0,0,0,0,0.6006,0,0,1145,10,67.3,546,15.7916667,1481,31.386863,-110.749311,0.334802593,1.665194282,Madrean Encinal
